winery,wine,rating,region,price,body
391,693,4.9,65,995.0,5.0
31,749,4.9,70,313.5,4.0
414,711,4.8,53,324.95,5.0
414,711,4.8,53,692.96,5.0
414,711,4.8,53,778.06,5.0
414,711,4.8,53,490.0,5.0
414,711,4.8,53,349.0,5.0
414,711,4.8,53,810.89,5.0
414,712,4.8,53,345.0,5.0
414,711,4.8,53,315.0,5.0
414,712,4.8,53,514.85,5.0
327,213,4.8,53,105.15,5.0
414,712,4.8,53,430.0,5.0
414,711,4.8,53,925.0,5.0
396,204,4.8,40,350.0,5.0
327,181,4.8,53,166.18,5.0
414,711,4.8,53,1620.0,5.0
414,712,4.8,53,431.36,5.0
75,224,4.8,32,195.6273796,4.0
414,712,4.8,53,824.43,5.0
414,712,4.8,53,570.51,5.0
170,528,4.8,53,1280.0,5.0
396,204,4.8,40,244.85,5.0
414,712,4.8,53,719.34,5.0
414,711,4.8,53,815.0,5.0
396,206,4.8,40,285.86,5.0
23,354,4.8,49,1410.26,4.0
414,712,4.8,53,813.96,5.0
414,712,4.8,53,435.75,5.0
321,726,4.8,65,369.05,5.0
414,712,4.8,53,1182.77,5.0
396,204,4.8,40,227.95,5.0
96,585,4.8,53,999.0,5.0
423,523,4.8,53,360.0,5.0
391,693,4.8,65,1190.0,5.0
170,528,4.8,53,1150.0,5.0
391,693,4.8,65,950.0,5.0
23,354,4.8,49,1021.21,4.0
379,416,4.8,55,544.5,4.0
391,693,4.8,65,1295.0,5.0
23,354,4.8,49,992.2,4.0
391,693,4.8,65,1289.44,5.0
159,366,4.8,8,1098.9,4.0
246,311,4.8,55,215.34,4.0
23,354,4.8,49,1094.9,4.0
414,719,4.7,53,239.5,5.0
414,719,4.7,53,175.5,5.0
414,719,4.7,53,194.0,5.0
414,711,4.7,53,381.15,5.0
414,711,4.7,53,584.43,5.0
414,711,4.7,53,555.2,5.0
414,711,4.7,53,445.28,5.0
414,719,4.7,53,189.0,5.0
414,711,4.7,53,362.25,5.0
414,711,4.7,53,289.0,5.0
414,711,4.7,53,325.0,5.0
414,719,4.7,53,107.57,5.0
414,719,4.7,53,234.0,5.0
414,711,4.7,53,500.94,5.0
414,711,4.7,53,698.9,5.0
414,711,4.7,53,872.47,5.0
414,712,4.7,53,877.85,5.0
414,711,4.7,53,827.94,5.0
327,181,4.7,53,113.18,5.0
414,711,4.7,53,679.72,5.0
414,711,4.7,53,787.59,5.0
414,712,4.7,53,480.06,5.0
327,213,4.7,53,75.1,5.0
75,224,4.7,32,154.9,4.0
75,224,4.7,32,145.0,4.0
414,712,4.7,53,290.0,5.0
272,114,4.7,55,795.0,3.0
75,224,4.7,32,371.7800975,4.0
75,224,4.7,32,134.19,4.0
428,375,4.7,55,82.58,4.0
414,711,4.7,53,873.86,5.0
414,712,4.7,53,774.4,5.0
181,423,4.7,53,84.95,5.0
170,528,4.7,53,940.0,5.0
414,711,4.7,53,812.63,5.0
181,422,4.7,53,116.54,5.0
170,528,4.7,53,1500.0,5.0
170,528,4.7,53,1190.0,5.0
75,224,4.7,32,154.85,4.0
391,30,4.7,65,135.0,5.0
353,373,4.7,65,63.75,5.0
414,711,4.7,53,827.94,5.0
86,684,4.7,15,66.07,4.0
55,170,4.7,55,213.9,4.0
363,429,4.7,55,234.9,4.0
414,711,4.7,53,2087.25,5.0
428,375,4.7,55,89.9,4.0
414,711,4.7,53,1384.54,5.0
414,711,4.7,53,820.98,5.0
170,528,4.7,53,1250.0,5.0
414,712,4.7,53,1500.0,5.0
170,528,4.7,53,1715.18,5.0
414,711,4.7,53,932.3,5.0
23,354,4.7,49,1372.14,4.0
93,111,4.7,65,78.9,5.0
414,712,4.7,53,660.96,5.0
329,513,4.7,53,154.0,5.0
414,719,4.7,53,134.89,5.0
23,354,4.7,49,1422.96,4.0
58,682,4.7,65,207.11,5.0
414,712,4.7,53,340.49,5.0
181,149,4.7,53,317.63,5.0
19,63,4.7,12,108.9,5.0
414,711,4.7,53,700.0,5.0
396,204,4.7,40,185.0,5.0
414,711,4.7,53,911.43,5.0
55,170,4.7,55,1150.0,4.0
414,711,4.7,53,698.95,5.0
58,682,4.7,65,2814.16,5.0
391,693,4.7,65,1325.0,5.0
23,554,4.7,55,527.26,4.0
414,712,4.7,53,1071.45,5.0
284,2,4.7,49,299.0,4.0
198,692,4.7,10,43.13,4.158426788816932
414,711,4.7,53,1207.6,5.0
92,146,4.7,55,175.0,4.0
23,354,4.7,49,1252.35,4.0
75,224,4.7,32,145.9,4.0
284,2,4.7,49,447.95,4.0
414,712,4.7,53,813.96,5.0
23,354,4.7,49,1410.26,4.0
280,97,4.7,49,182.9,4.0
361,709,4.7,17,99.0,2.0
414,712,4.7,53,1113.2,5.0
137,544,4.7,49,654.31,4.0
329,513,4.7,53,134.26,5.0
246,311,4.7,55,292.09,4.0
213,56,4.7,29,400.85,4.0
137,190,4.7,49,202.01,4.0
396,206,4.7,40,250.0,5.0
428,375,4.7,55,88.9,4.0
67,227,4.7,55,77.9,4.0
396,204,4.7,40,191.61,5.0
391,30,4.7,65,123.89,5.0
304,702,4.7,12,93.95,5.0
389,412,4.7,53,248.0,5.0
31,749,4.7,70,397.0,4.0
355,663,4.7,68,194.86,4.158426788816932
361,568,4.7,17,65.05,2.0
86,684,4.7,15,86.9,4.0
423,523,4.7,53,472.5,5.0
386,715,4.7,25,379.0,4.0
157,310,4.7,53,185.15,5.0
423,559,4.7,53,94.2,5.0
297,369,4.7,57,46.0,4.0
23,354,4.7,49,919.6,4.0
218,557,4.7,2,81.9,4.158426788816932
272,115,4.7,55,680.0,4.0
